Date,Amount
2024-12-09 07:48,15.48
2024-12-06 22:59,22.42
2024-12-06 17:10,8.42
2024-12-06 00:26,6.92
2024-12-01 10:17,15.75
2024-12-09 07:48,15.48
2024-12-06 22:59,22.42
2024-12-06 17:10,8.42
2024-12-06 00:26,6.92
2024-12-01 10:17,15.75
2024-12-09 07:48,15.48
2024-12-06 22:59,22.42
2024-12-06 17:10,8.42
2024-12-06 00:26,6.92
2024-12-01 10:17,15.75
