Date,Amount
2025-01-04 05:28,1.86
2025-01-03 03:58,10.74
2025-01-02 16:47,73.90
2025-01-01 18:53,16.68
2024-12-27 03:52,56.65
2024-12-27 03:51,56.65
2024-12-27 03:31,66.95
2024-12-27 03:18,22.66
2024-12-27 02:31,22.66
2024-12-27 01:58,56.65
2024-12-27 00:58,45.32
2024-12-27 00:36,22.66
2024-12-26 23:53,22.66
2024-12-26 23:20,11.00
2024-12-26 22:50,31.90
2024-12-26 22:40,27.00
2024-12-22 00:50,84.86
2024-12-22 00:06,44.00
